Date,Y_test,Y_GRU
2022-12-07,16848.126953124996,16179.407
2022-12-08,17233.474609375,16370.86
2022-12-09,17133.15234375,16897.812
2022-12-10,17128.724609374996,16454.402
2022-12-11,17104.193359374996,15932.642
2022-12-12,17206.437499999993,15454.061
2022-12-13,17781.318359374996,15119.338
2022-12-14,17815.650390625,14561.248
2022-12-15,17364.865234374996,15164.874
2022-12-16,16647.484375,15684.425
2022-12-17,16795.091796875,15714.508
2022-12-18,16757.976562499996,15791.997
2022-12-19,16439.679687499996,15898.604
2022-12-20,16906.304687499996,15917.925
2022-12-21,16817.53515625,16421.059
2022-12-22,16830.341796874996,16481.062
2022-12-23,16796.953124999993,16340.8125
2022-12-24,16847.755859374996,15990.534
2022-12-25,16841.986328125,15600.65
2022-12-26,16919.804687499996,15721.267
2022-12-27,16717.173828124996,15998.861
2022-12-28,16552.572265624993,16516.928
2022-12-29,16642.341796874996,17327.889
2022-12-30,16602.585937499996,17886.793
2022-12-31,16547.496093749996,18067.172
2023-01-01,16625.080078125,16904.35
2023-01-02,16688.470703124996,16812.871
2023-01-03,16679.857421875,16196.348
2023-01-04,16863.238281249993,15162.839
2023-01-05,16836.736328125,15420.243
2023-01-06,16951.968749999996,15073.089
2023-01-07,16955.078125,15406.519
2023-01-08,17091.144531249996,15639.649
2023-01-09,17196.5546875,15594.8125
2023-01-10,17446.292968749996,15373.502
2023-01-11,17934.896484375,15162.953
2023-01-12,18869.587890624996,14838.908
2023-01-13,19909.574218749996,14931.004
2023-01-14,20976.298828125,15797.566
2023-01-15,20880.798828125,16404.479
2023-01-16,21169.632812499996,17157.824
2023-01-17,21161.51953125,17681.123
2023-01-18,20688.781249999996,18402.08
2023-01-19,21086.79296875,18270.81
2023-01-20,22676.552734374996,18012.139
2023-01-21,22777.625,17772.13
2023-01-22,22720.416015624996,17871.533
2023-01-23,22934.431640625,18229.951
2023-01-24,22636.46875,18916.45
2023-01-25,23117.859375,19591.889
2023-01-26,23032.77734375,19960.693
2023-01-27,23078.728515625,20378.186
2023-01-28,23031.089843749996,20139.576
2023-01-29,23774.56640625,19873.479
2023-01-30,22840.138671875,19872.176
2023-01-31,23139.283203124996,19693.396
2023-02-01,23723.769531249996,18372.111
2023-02-02,23471.87109375,18261.357
2023-02-03,23449.322265625,18157.416
2023-02-04,23331.84765625,18441.113
2023-02-05,22955.666015624996,19116.988
2023-02-06,22760.109375,19845.055
2023-02-07,23264.291015624996,19961.715
2023-02-08,22939.3984375,19202.834
2023-02-09,21819.0390625,18904.746
2023-02-10,21651.18359375,18921.582
2023-02-11,21870.874999999996,18689.318
2023-02-12,21788.203124999996,18462.84
2023-02-13,21808.101562499996,18684.271
2023-02-14,22220.8046875,18761.275
2023-02-15,24307.841796875,18464.055
2023-02-16,23623.474609375,18142.445
2023-02-17,24565.6015625,18891.744
2023-02-18,24641.277343749996,19308.162
2023-02-19,24327.642578125,19600.883
2023-02-20,24829.148437499996,19903.656
2023-02-21,24436.353515624996,19682.36
2023-02-22,24188.84375,19460.225
2023-02-23,23947.4921875,19314.238
2023-02-24,23198.126953125,19636.256
2023-02-25,23175.375,19640.979
2023-02-26,23561.212890625,19258.635
2023-02-27,23522.87109375,19092.924
2023-02-28,23147.353515625,18805.094
2023-03-01,23646.550781249996,19070.812
2023-03-02,23475.466796875,18986.955
2023-03-03,22362.6796875,19472.217
2023-03-04,22353.349609374996,18886.287
2023-03-05,22435.513671875,17549.797
2023-03-06,22429.757812499996,17922.523
2023-03-07,22219.769531249996,17129.846
2023-03-08,21718.080078124996,16442.49
2023-03-09,20363.021484375,16723.625
2023-03-10,20187.244140625,16242.542
2023-03-11,20632.41015625,16453.277
2023-03-12,22163.94921875,16415.795
