,Date,Y_test,Furture - 1,Furture - 2
0,2022-12-06,17089.503906249993,17835.693,
1,2022-12-07,16848.126953124996,16735.844,17099.57
2,2022-12-08,17233.474609375,18424.541,16602.365
3,2022-12-09,17133.15234375,18380.807,17447.973
4,2022-12-10,17128.724609374996,17844.56,18072.395
5,2022-12-11,17104.193359374996,17717.676,17888.154
6,2022-12-12,17206.437499999993,17885.445,17468.793
7,2022-12-13,17781.318359374996,17390.06,17733.555
8,2022-12-14,17815.650390625,18215.746,17140.973
9,2022-12-15,17364.865234374996,18265.908,17422.094
10,2022-12-16,16647.484375,17354.658,17942.842
11,2022-12-17,16795.091796875,17394.877,17366.283
12,2022-12-18,16757.976562499996,17229.93,17010.156
13,2022-12-19,16439.679687499996,16911.75,17662.404
14,2022-12-20,16906.304687499996,16818.67,17577.725
15,2022-12-21,16817.53515625,17331.355,16920.49
16,2022-12-22,16830.341796874996,17117.752,17424.139
17,2022-12-23,16796.953124999993,16710.504,17332.04
18,2022-12-24,16847.755859374996,16661.695,16592.574
19,2022-12-25,16841.986328125,18222.828,17166.443
20,2022-12-26,16919.804687499996,16941.246,17995.277
21,2022-12-27,16717.173828124996,17110.697,16874.77
22,2022-12-28,16552.572265624993,16943.797,17193.133
23,2022-12-29,16642.341796874996,17711.455,17494.307
24,2022-12-30,16602.585937499996,17177.754,17535.201
25,2022-12-31,16547.496093749996,17678.307,16939.334
26,2023-01-01,16625.080078125,17892.541,17714.701
27,2023-01-02,16688.470703124996,17828.77,17945.35
28,2023-01-03,16679.857421875,18072.07,17804.543
29,2023-01-04,16863.238281249993,18448.643,17883.873
30,2023-01-05,16836.736328125,17665.594,18600.094
31,2023-01-06,16951.968749999996,18471.791,17843.475
32,2023-01-07,16955.078125,18876.633,18369.723
33,2023-01-08,17091.144531249996,18424.479,18714.877
34,2023-01-09,17196.5546875,18279.092,18426.188
35,2023-01-10,17446.292968749996,18443.598,18440.76
36,2023-01-11,17934.896484375,18532.941,18476.334
37,2023-01-12,18869.587890624996,18817.043,18987.082
38,2023-01-13,19909.574218749996,18410.01,18571.764
39,2023-01-14,20976.298828125,18770.621,18795.9
40,2023-01-15,20880.798828125,20466.752,18926.783
41,2023-01-16,21169.632812499996,20030.633,19753.09
42,2023-01-17,21161.51953125,19810.812,20399.713
43,2023-01-18,20688.781249999996,20055.977,19464.408
44,2023-01-19,21086.79296875,19161.443,19705.15
45,2023-01-20,22676.552734374996,19271.475,19341.86
46,2023-01-21,22777.625,18887.75,19727.82
47,2023-01-22,22720.416015624996,19006.75,19392.584
48,2023-01-23,22934.431640625,21069.053,19344.342
49,2023-01-24,22636.46875,21480.965,19444.654
50,2023-01-25,23117.859375,20181.23,20802.21
51,2023-01-26,23032.77734375,21756.07,20097.37
52,2023-01-27,23078.728515625,21416.883,21323.355
53,2023-01-28,23031.089843749996,22034.957,21513.455
54,2023-01-29,23774.56640625,21835.545,20848.652
55,2023-01-30,22840.138671875,21868.008,21102.986
56,2023-01-31,23139.283203124996,20397.45,21686.793
57,2023-02-01,23723.769531249996,20625.53,21377.162
58,2023-02-02,23471.87109375,20096.383,20245.953
59,2023-02-03,23449.322265625,21505.06,20084.514
60,2023-02-04,23331.84765625,21267.045,19749.098
61,2023-02-05,22955.666015624996,21739.773,20846.793
62,2023-02-06,22760.109375,21878.037,21341.88
63,2023-02-07,23264.291015624996,21401.67,20509.662
64,2023-02-08,22939.3984375,20213.797,20271.451
65,2023-02-09,21819.0390625,19751.084,21109.514
66,2023-02-10,21651.18359375,20925.879,19617.904
67,2023-02-11,21870.874999999996,20192.357,19254.742
68,2023-02-12,21788.203124999996,19883.045,19506.648
69,2023-02-13,21808.101562499996,20425.67,19508.793
70,2023-02-14,22220.8046875,20023.547,19254.742
71,2023-02-15,24307.841796875,19698.904,19990.578
72,2023-02-16,23623.474609375,21759.822,20505.021
73,2023-02-17,24565.6015625,23958.71,21416.799
74,2023-02-18,24641.277343749996,23148.082,23041.934
75,2023-02-19,24327.642578125,23029.598,22397.918
76,2023-02-20,24829.148437499996,22140.643,22332.72
77,2023-02-21,24436.353515624996,22228.287,22098.758
78,2023-02-22,24188.84375,22476.229,21062.275
79,2023-02-23,23947.4921875,21683.836,22783.121
80,2023-02-24,23198.126953125,24089.264,23385.957
81,2023-02-25,23175.375,21692.635,22649.186
82,2023-02-26,23561.212890625,21980.281,22243.535
83,2023-02-27,23522.87109375,22297.314,20838.84
84,2023-02-28,23147.353515625,22782.875,21818.236
85,2023-03-01,23646.550781249996,21120.895,21924.914
86,2023-03-02,23475.466796875,23704.5,21389.205
87,2023-03-03,22362.6796875,21592.832,22801.957
88,2023-03-04,22353.349609374996,22654.684,22458.254
89,2023-03-05,22435.513671875,23455.043,21615.924
90,2023-03-06,22429.757812499996,23626.598,22730.3
91,2023-03-07,22219.769531249996,21386.436,22138.814
92,2023-03-08,21718.080078124996,22750.13,20207.967
93,2023-03-09,20363.021484375,21312.611,21370.408
94,2023-03-10,20187.244140625,21533.12,21198.76
95,2023-03-11,20632.41015625,20139.05,20031.438
96,2023-03-12,,,19352.092
