,Date,Y_test,Furture - 1,Furture - 2,Furture - 3,Furture - 4,Furture - 5,Furture - 6,Furture - 7
0,2022-12-01,16967.132812499996,24072.465,,,,,,
1,2022-12-02,17088.660156249993,24043.492,24485.865,,,,,
2,2022-12-03,16908.236328124996,24012.912,24444.508,23713.766,,,,
3,2022-12-04,17130.486328124996,23969.682,24405.146,23673.424,24694.25,,,
4,2022-12-05,16974.826171874996,23919.332,24357.068,23634.02,24650.168,24231.795,,
5,2022-12-06,17089.503906249993,23871.238,24304.574,23584.3,24611.102,24191.035,25352.771,
6,2022-12-07,16848.126953124996,23822.785,24252.33,23529.475,24567.115,24154.256,25308.285,24508.613
7,2022-12-08,17233.474609375,23776.236,24202.227,23475.666,24521.428,24110.5,25267.643,24476.26
8,2022-12-09,17133.15234375,23732.2,24155.527,23423.252,24474.488,24063.559,25221.65,24445.594
9,2022-12-10,17128.724609374996,23686.674,24111.705,23373.92,24428.318,24016.05,25173.887,24406.48
10,2022-12-11,17104.193359374996,23638.564,24067.89,23327.514,24384.465,23968.582,25125.504,24362.498
11,2022-12-12,17206.437499999993,23583.924,24022.002,23280.766,24343.008,23923.328,25079.756,24318.639
12,2022-12-13,17781.318359374996,23522.885,23970.55,23231.818,24302.67,23880.744,25037.1,24274.531
13,2022-12-14,17815.650390625,23464.426,23913.553,23176.86,24261.258,23838.725,24996.727,24232.107
14,2022-12-15,17364.865234374996,23409.11,23857.098,23115.87,24215.443,23795.18,24957.13,24191.871
15,2022-12-16,16647.484375,23355.092,23802.004,23056.246,24163.846,23746.293,24916.186,24151.281
16,2022-12-17,16795.091796875,23298.625,23748.107,22998.635,24111.746,23690.826,24871.078,24108.803
17,2022-12-18,16757.976562499996,23242.64,23693.508,22942.16,24060.041,23635.666,24821.355,24060.953
18,2022-12-19,16439.679687499996,23190.227,23639.676,22884.344,24007.99,23581.824,24771.107,24007.1
19,2022-12-20,16906.304687499996,23141.879,23588.336,22827.252,23954.885,23528.035,24721.033,23954.104
20,2022-12-21,16817.53515625,23096.541,23539.758,22773.127,23901.965,23472.621,24671.342,23902.918
21,2022-12-22,16830.341796874996,23055.287,23491.973,22722.328,23850.754,23417.324,24621.424,23852.404
22,2022-12-23,16796.953124999993,23019.93,23445.596,22673.156,23801.791,23364.195,24572.062,23800.27
23,2022-12-24,16847.755859374996,22989.334,23402.768,22626.355,23754.494,23313.758,24524.314,23748.416
24,2022-12-25,16841.986328125,22951.197,23363.75,22583.977,23709.447,23265.604,24478.541,23699.1
25,2022-12-26,16919.804687499996,22912.797,23320.53,22545.775,23667.428,23220.57,24433.049,23652.86
26,2022-12-27,16717.173828124996,22881.63,23277.684,22502.059,23628.322,23179.398,24388.295,23609.066
27,2022-12-28,16552.572265624993,22851.594,23240.926,22458.559,23586.107,23141.527,24346.146,23568.566
28,2022-12-29,16642.341796874996,22833.668,23205.895,22421.715,23544.021,23098.588,24307.203,23532.514
29,2022-12-30,16602.585937499996,22827.469,23180.64,22386.344,23506.361,23055.486,24266.463,23500.275
30,2022-12-31,16547.496093749996,22831.621,23166.117,22361.816,23470.486,23017.799,24226.305,23462.84
31,2023-01-01,16625.080078125,22843.838,23161.361,22348.664,23443.033,22981.906,24190.572,23425.16
