,Date,Y_test,Furture - 1,Furture - 2,Furture - 3,Furture - 4,Furture - 5,Furture - 6,Furture - 7
0,2022-12-01,16967.132812499996,33826.344,,,,,,
1,2022-12-02,17088.660156249993,33848.734,33849.938,,,,,
2,2022-12-03,16908.236328124996,33859.05,33872.24,33805.902,,,,
3,2022-12-04,17130.486328124996,33852.086,33882.547,33827.953,33703.04,,,
4,2022-12-05,16974.826171874996,33840.89,33875.63,33838.16,33724.832,33634.62,,
5,2022-12-06,17089.503906249993,33845.516,33864.48,33831.324,33734.93,33656.203,33542.293,
6,2022-12-07,16848.126953124996,33843.375,33869.086,33820.277,33728.12,33666.207,33563.613,33602.867
7,2022-12-08,17233.474609375,33859.184,33866.957,33824.824,33717.133,33659.45,33573.504,33624.555
8,2022-12-09,17133.15234375,33886.547,33882.71,33822.71,33721.613,33648.555,33566.832,33634.633
9,2022-12-10,17128.724609374996,33905.152,33909.996,33838.305,33719.504,33652.996,33556.06,33627.84
10,2022-12-11,17104.193359374996,33917.04,33928.574,33865.324,33734.98,33650.902,33560.453,33616.867
11,2022-12-12,17206.437499999993,33908.8,33940.46,33883.75,33761.836,33666.246,33558.383,33621.33
12,2022-12-13,17781.318359374996,33883.71,33932.29,33895.547,33780.184,33692.867,33573.555,33619.223
13,2022-12-14,17815.650390625,33869.777,33907.297,33887.48,33791.957,33711.066,33599.895,33634.664
14,2022-12-15,17364.865234374996,33859.383,33893.387,33862.734,33783.996,33722.746,33617.914,33661.492
15,2022-12-16,16647.484375,33843.61,33883.01,33848.945,33759.44,33714.863,33629.49,33679.86
16,2022-12-17,16795.091796875,33806.727,33867.273,33838.645,33745.723,33690.527,33621.723,33691.668
17,2022-12-18,16757.976562499996,33762.7,33830.508,33823.043,33735.465,33676.926,33597.668,33683.77
18,2022-12-19,16439.679687499996,33718.277,33786.594,33786.613,33719.938,33666.754,33584.21,33659.27
19,2022-12-20,16906.304687499996,33670.727,33742.266,33743.09,33683.703,33651.355,33574.14,33645.555
20,2022-12-21,16817.53515625,33623.523,33694.824,33699.14,33640.387,33615.426,33558.895,33635.285
21,2022-12-22,16830.341796874996,33585.113,33647.715,33652.094,33596.62,33572.47,33523.355,33619.754
22,2022-12-23,16796.953124999993,33554.02,33609.363,33605.37,33549.746,33529.06,33480.848,33583.543
23,2022-12-24,16847.755859374996,33524.656,33578.316,33567.324,33503.18,33482.57,33437.88,33540.23
24,2022-12-25,16841.986328125,33454.918,33549.0,33536.504,33465.215,33436.375,33391.86,33496.434
25,2022-12-26,16919.804687499996,33393.902,33479.477,33507.414,33434.438,33398.707,33346.13,33449.523
26,2022-12-27,16717.173828124996,33351.89,33418.59,33438.51,33405.383,33368.168,33308.816,33402.906
27,2022-12-28,16552.572265624993,33306.906,33376.637,33378.133,33336.79,33339.34,33278.56,33364.863
28,2022-12-29,16642.341796874996,33310.594,33331.74,33336.484,33276.613,33271.31,33249.996,33334.008
29,2022-12-30,16602.585937499996,33336.035,33335.332,33291.94,33235.035,33211.625,33182.69,33304.883
30,2022-12-31,16547.496093749996,33384.67,33360.664,33295.414,33190.582,33170.367,33123.605,33236.305
31,2023-01-01,16625.080078125,33443.492,33409.152,33320.457,33193.84,33126.26,33082.734,33176.074
32,2023-01-02,16688.470703124996,33502.566,33467.824,33368.47,33218.582,33129.457,33039.06,33134.395
33,2023-01-03,16679.857421875,33560.8,33526.773,33426.61,33266.223,33153.965,33042.14,33089.863
34,2023-01-04,16863.238281249993,33605.777,33584.906,33485.05,33324.004,33201.184,33066.336,33092.957
35,2023-01-05,16836.736328125,33619.023,33629.82,33542.695,33382.16,33258.47,33113.01,33117.58
36,2023-01-06,16951.968749999996,33625.246,33643.105,33587.254,33439.566,33316.14,33169.684,33165.125
37,2023-01-07,16955.078125,33649.2,33649.348,33600.5,33484.016,33373.08,33226.76,33222.863
38,2023-01-08,17091.144531249996,33666.094,33673.24,33606.73,33497.35,33417.17,33283.133,33281.027
39,2023-01-09,17196.5546875,33665.04,33690.098,33630.418,33503.688,33430.43,33326.816,33338.48
40,2023-01-10,17446.292968749996,33649.52,33689.07,33647.15,33527.33,33436.734,33340.0,33383.02
41,2023-01-11,17934.896484375,33645.543,33673.613,33646.17,33544.055,33460.19,33346.293,33396.49
42,2023-01-12,18869.587890624996,33633.273,33669.633,33630.883,33543.176,33476.79,33369.516,33402.926
43,2023-01-13,19909.574218749996,33613.53,33657.39,33626.938,33528.05,33475.938,33385.965,33426.59
44,2023-01-14,20976.298828125,33605.28,33637.703,33614.812,33524.156,33460.957,33385.15,33443.363
45,2023-01-15,20880.798828125,33645.45,33629.44,33595.305,33512.125,33457.098,33370.348,33442.555
46,2023-01-16,21169.632812499996,33722.97,33669.438,33587.11,33492.74,33445.17,33366.53,33427.492
47,2023-01-17,21161.51953125,33807.41,33746.703,33626.695,33484.555,33425.95,33354.73,33423.6
48,2023-01-18,20688.781249999996,33895.637,33830.93,33703.227,33523.848,33417.832,33335.715,33411.582
49,2023-01-19,21086.79296875,33966.227,33918.96,33786.707,33599.902,33456.777,33327.668,33392.207
50,2023-01-20,22676.552734374996,34012.4,33989.426,33873.984,33682.953,33532.184,33366.156,33384.004
51,2023-01-21,22777.625,34028.746,34035.55,33943.887,33769.844,33614.535,33440.723,33423.19
52,2023-01-22,22720.416015624996,34041.23,34051.926,33989.69,33839.535,33700.71,33522.203,33499.15
53,2023-01-23,22934.431640625,34072.414,34064.402,34006.01,33885.3,33769.848,33607.492,33582.176
54,2023-01-24,22636.46875,34128.926,34095.49,34018.434,33901.758,33815.26,33675.953,33669.1
55,2023-01-25,23117.859375,34164.95,34151.824,34049.258,33914.285,33831.617,33720.96,33738.9
56,2023-01-26,23032.77734375,34227.09,34187.777,34105.09,33945.05,33844.066,33737.22,33784.81
57,2023-01-27,23078.728515625,34291.848,34249.746,34140.77,34000.652,33874.594,33749.586,33801.426
58,2023-01-28,23031.089843749996,34349.81,34314.348,34202.19,34036.26,33929.74,33779.81,33814.062
59,2023-01-29,23774.56640625,34416.36,34372.19,34266.242,34097.43,33965.074,33834.375,33844.863
60,2023-01-30,22840.138671875,34477.785,34438.594,34323.613,34161.242,34025.742,33869.36,33900.457
61,2023-01-31,23139.283203124996,34507.594,34499.89,34389.457,34218.44,34089.04,33929.402,33936.137
62,2023-02-01,23723.769531249996,34484.625,34529.69,34450.254,34284.06,34145.777,33992.055,33997.324
63,2023-02-02,23471.87109375,34447.32,34506.867,34479.867,34344.684,34210.867,34048.234,34061.18
64,2023-02-03,23449.322265625,34425.26,34469.695,34457.36,34374.34,34271.01,34112.676,34118.453
65,2023-02-04,23331.84765625,34419.84,34447.668,34420.582,34352.18,34300.445,34172.227,34184.137
66,2023-02-05,22955.666015624996,34427.82,34442.21,34398.754,34315.754,34278.516,34201.414,34244.844
67,2023-02-06,22760.109375,34459.566,34450.13,34393.32,34294.094,34242.42,34179.78,34274.637
68,2023-02-07,23264.291015624996,34497.582,34481.75,34401.145,34288.688,34220.953,34144.105,34252.676
69,2023-02-08,22939.3984375,34533.105,34519.652,34432.453,34296.44,34215.59,34122.86,34216.36
70,2023-02-09,21819.0390625,34557.22,34555.1,34470.008,34327.535,34223.28,34117.535,34194.71
71,2023-02-10,21651.18359375,34594.92,34579.184,34505.152,34364.88,34254.105,34125.12,34189.273
72,2023-02-11,21870.874999999996,34621.97,34616.797,34529.047,34399.86,34291.133,34155.598,34196.984
