,Date,Y_test,Furture - 1,Furture - 2
0,2022-12-06,17089.503906249993,17727.533,
1,2022-12-07,16848.126953124996,17678.389,17847.648
2,2022-12-08,17233.474609375,17303.373,17800.068
3,2022-12-09,17133.15234375,17071.834,17417.428
4,2022-12-10,17128.724609374996,17039.78,17188.252
5,2022-12-11,17104.193359374996,16998.623,17160.14
6,2022-12-12,17206.437499999993,16966.535,17118.402
7,2022-12-13,17781.318359374996,17007.895,17085.549
8,2022-12-14,17815.650390625,16940.787,17127.963
9,2022-12-15,17364.865234374996,17073.277,17058.031
10,2022-12-16,16647.484375,17226.469,17194.377
11,2022-12-17,16795.091796875,17315.26,17347.875
12,2022-12-18,16757.976562499996,17280.191,17435.09
13,2022-12-19,16439.679687499996,17150.654,17396.97
14,2022-12-20,16906.304687499996,17185.842,17265.037
15,2022-12-21,16817.53515625,17189.414,17303.736
16,2022-12-22,16830.341796874996,17205.904,17306.791
17,2022-12-23,16796.953124999993,17309.05,17323.496
18,2022-12-24,16847.755859374996,17462.443,17428.879
19,2022-12-25,16841.986328125,19471.266,17583.848
20,2022-12-26,16919.804687499996,18222.379,19634.041
21,2022-12-27,16717.173828124996,17966.967,18312.852
22,2022-12-28,16552.572265624993,18034.154,18078.105
23,2022-12-29,16642.341796874996,17550.912,18154.81
24,2022-12-30,16602.585937499996,17485.158,17660.61
25,2022-12-31,16547.496093749996,17353.596,17603.941
26,2023-01-01,16625.080078125,17282.45,17471.508
27,2023-01-02,16688.470703124996,17253.67,17401.51
28,2023-01-03,16679.857421875,17222.701,17373.477
29,2023-01-04,16863.238281249993,17174.443,17342.473
30,2023-01-05,16836.736328125,17135.938,17293.557
31,2023-01-06,16951.968749999996,17036.645,17254.96
32,2023-01-07,16955.078125,16761.83,17154.074
33,2023-01-08,17091.144531249996,16721.123,16875.06
34,2023-01-09,17196.5546875,16653.748,16838.76
35,2023-01-10,17446.292968749996,16614.451,16769.494
36,2023-01-11,17934.896484375,16491.621,16730.31
37,2023-01-12,18869.587890624996,16605.096,16605.09
38,2023-01-13,19909.574218749996,16710.3,16722.973
39,2023-01-14,20976.298828125,16752.105,16828.127
40,2023-01-15,20880.798828125,16831.314,16868.23
41,2023-01-16,21169.632812499996,16896.85,16948.094
42,2023-01-17,21161.51953125,17061.947,17013.379
43,2023-01-18,20688.781249999996,17184.994,17180.812
44,2023-01-19,21086.79296875,17460.61,17303.266
45,2023-01-20,22676.552734374996,17520.014,17582.693
46,2023-01-21,22777.625,17799.598,17637.934
47,2023-01-22,22720.416015624996,17999.562,17922.717
48,2023-01-23,22934.431640625,17999.111,18121.875
49,2023-01-24,22636.46875,17973.205,18117.496
50,2023-01-25,23117.859375,18447.754,18091.736
51,2023-01-26,23032.77734375,18095.934,18578.158
52,2023-01-27,23078.728515625,18109.533,18209.234
53,2023-01-28,23031.089843749996,18113.926,18231.031
54,2023-01-29,23774.56640625,17992.527,18236.398
55,2023-01-30,22840.138671875,18060.27,18112.857
56,2023-01-31,23139.283203124996,18259.443,18185.154
57,2023-02-01,23723.769531249996,19037.555,18387.795
58,2023-02-02,23471.87109375,18716.59,19178.637
59,2023-02-03,23449.322265625,18588.855,18833.352
60,2023-02-04,23331.84765625,18716.316,18709.252
61,2023-02-05,22955.666015624996,18691.467,18843.389
62,2023-02-06,22760.109375,18511.783,18815.781
63,2023-02-07,23264.291015624996,18468.271,18632.758
64,2023-02-08,22939.3984375,18594.062,18592.53
65,2023-02-09,21819.0390625,18689.045,18722.473
66,2023-02-10,21651.18359375,18486.45,18816.867
67,2023-02-11,21870.874999999996,18525.453,18607.852
68,2023-02-12,21788.203124999996,18521.607,18652.195
69,2023-02-13,21808.101562499996,18408.842,18647.92
70,2023-02-14,22220.8046875,18408.414,18532.947
71,2023-02-15,24307.841796875,18401.59,18535.191
72,2023-02-16,23623.474609375,18452.186,18528.314
73,2023-02-17,24565.6015625,18531.533,18579.584
74,2023-02-18,24641.277343749996,18604.123,18659.543
75,2023-02-19,24327.642578125,18615.342,18731.982
76,2023-02-20,24829.148437499996,18701.3,18741.674
77,2023-02-21,24436.353515624996,18950.455,18829.213
78,2023-02-22,24188.84375,18863.123,19082.098
79,2023-02-23,23947.4921875,18924.24,18987.506
80,2023-02-24,23198.126953125,18796.584,19051.734
81,2023-02-25,23175.375,19008.527,18920.238
82,2023-02-26,23561.212890625,19863.896,19139.795
83,2023-02-27,23522.87109375,19097.875,20009.18
84,2023-02-28,23147.353515625,19174.742,19207.2
85,2023-03-01,23646.550781249996,19249.088,19302.371
86,2023-03-02,23475.466796875,19006.69,19378.207
87,2023-03-03,22362.6796875,19163.674,19129.393
88,2023-03-04,22353.349609374996,18886.875,19295.543
89,2023-03-05,22435.513671875,18948.418,19009.725
90,2023-03-06,22429.757812499996,18966.521,19078.742
91,2023-03-07,22219.769531249996,19236.299,19096.428
92,2023-03-08,21718.080078124996,18952.54,19371.678
93,2023-03-09,20363.021484375,19176.725,19075.656
94,2023-03-10,20187.244140625,19213.73,19310.682
95,2023-03-11,20632.41015625,19045.314,19344.168
96,2023-03-12,,,19171.672
