,Date,Y_test,Furture - 1,Furture - 2
0,2022-12-06,17089.503906249993,15106.447,
1,2022-12-07,16848.126953124996,15169.097,14749.672
2,2022-12-08,17233.474609375,15173.91,14815.553
3,2022-12-09,17133.15234375,15231.554,14820.236
4,2022-12-10,17128.724609374996,15316.21,14881.555
5,2022-12-11,17104.193359374996,15453.547,14970.796
6,2022-12-12,17206.437499999993,15509.455,15116.574
7,2022-12-13,17781.318359374996,15546.643,15175.261
8,2022-12-14,17815.650390625,15626.747,15214.287
9,2022-12-15,17364.865234374996,15653.661,15298.371
10,2022-12-16,16647.484375,15641.438,15327.022
11,2022-12-17,16795.091796875,15761.978,15313.87
12,2022-12-18,16757.976562499996,15847.231,15440.521
13,2022-12-19,16439.679687499996,15890.953,15530.285
14,2022-12-20,16906.304687499996,15880.954,15576.476
15,2022-12-21,16817.53515625,15911.994,15565.948
16,2022-12-22,16830.341796874996,15755.98,15598.797
17,2022-12-23,16796.953124999993,15620.392,15433.72
18,2022-12-24,16847.755859374996,15561.505,15290.703
19,2022-12-25,16841.986328125,15496.962,15228.906
20,2022-12-26,16919.804687499996,15470.238,15161.021
21,2022-12-27,16717.173828124996,15442.326,15132.478
22,2022-12-28,16552.572265624993,15325.47,15102.45
23,2022-12-29,16642.341796874996,15215.699,14977.315
24,2022-12-30,16602.585937499996,15136.549,14862.104
25,2022-12-31,16547.496093749996,15116.147,14779.935
26,2023-01-01,16625.080078125,15101.61,14759.302
27,2023-01-02,16688.470703124996,15079.713,14744.591
28,2023-01-03,16679.857421875,15127.258,14721.511
29,2023-01-04,16863.238281249993,15178.662,14771.738
30,2023-01-05,16836.736328125,15240.34,14825.709
31,2023-01-06,16951.968749999996,15317.531,14889.296
32,2023-01-07,16955.078125,15409.111,14969.942
33,2023-01-08,17091.144531249996,15631.609,15066.552
34,2023-01-09,17196.5546875,15686.843,15305.058
35,2023-01-10,17446.292968749996,15787.654,15363.434
36,2023-01-11,17934.896484375,15968.148,15470.041
37,2023-01-12,18869.587890624996,15870.619,15660.267
38,2023-01-13,19909.574218749996,15922.38,15557.929
39,2023-01-14,20976.298828125,15879.139,15612.459
40,2023-01-15,20880.798828125,15854.923,15567.156
41,2023-01-16,21169.632812499996,15889.533,15541.751
42,2023-01-17,21161.51953125,15949.768,15578.562
43,2023-01-18,20688.781249999996,16050.245,15642.4795
44,2023-01-19,21086.79296875,16221.883,15748.724
45,2023-01-20,22676.552734374996,16318.994,15929.204
46,2023-01-21,22777.625,16261.316,16031.448
47,2023-01-22,22720.416015624996,16368.105,15970.809
48,2023-01-23,22934.431640625,16473.379,16082.379
49,2023-01-24,22636.46875,16586.99,16192.546
50,2023-01-25,23117.859375,16608.334,16311.235
51,2023-01-26,23032.77734375,16750.303,16332.397
52,2023-01-27,23078.728515625,16803.645,16480.729
53,2023-01-28,23031.089843749996,16811.797,16537.246
54,2023-01-29,23774.56640625,16701.463,16546.469
55,2023-01-30,22840.138671875,16691.07,16431.682
56,2023-01-31,23139.283203124996,16769.242,16420.72
57,2023-02-01,23723.769531249996,16831.023,16501.746
58,2023-02-02,23471.87109375,16971.42,16564.719
59,2023-02-03,23449.322265625,17084.893,16711.314
60,2023-02-04,23331.84765625,17224.918,16827.246
61,2023-02-05,22955.666015624996,17286.81,16974.62
62,2023-02-06,22760.109375,17264.088,17041.0
63,2023-02-07,23264.291015624996,17173.209,17017.293
64,2023-02-08,22939.3984375,17211.295,16921.684
65,2023-02-09,21819.0390625,16934.402,16963.752
66,2023-02-10,21651.18359375,16796.428,16673.979
67,2023-02-11,21870.874999999996,16681.104,16529.82
68,2023-02-12,21788.203124999996,16530.193,16408.873
69,2023-02-13,21808.101562499996,16418.91,16249.678
70,2023-02-14,22220.8046875,16494.738,16132.361
71,2023-02-15,24307.841796875,16731.787,16211.453
72,2023-02-16,23623.474609375,16841.771,16460.908
73,2023-02-17,24565.6015625,16872.805,16575.838
74,2023-02-18,24641.277343749996,16975.902,16608.734
75,2023-02-19,24327.642578125,17110.61,16719.098
76,2023-02-20,24829.148437499996,17173.918,16861.37
77,2023-02-21,24436.353515624996,17270.867,16927.938
78,2023-02-22,24188.84375,17415.05,17030.45
79,2023-02-23,23947.4921875,17605.62,17183.045
80,2023-02-24,23198.126953125,17639.541,17383.566
81,2023-02-25,23175.375,17785.775,17418.72
82,2023-02-26,23561.212890625,17913.484,17571.588
83,2023-02-27,23522.87109375,17966.363,17704.627
84,2023-02-28,23147.353515625,18062.277,17758.438
85,2023-03-01,23646.550781249996,18153.436,17856.846
86,2023-03-02,23475.466796875,18082.785,17949.26
87,2023-03-03,22362.6796875,17808.164,17872.967
88,2023-03-04,22353.349609374996,17689.314,17582.695
89,2023-03-05,22435.513671875,17596.129,17457.523
90,2023-03-06,22429.757812499996,17517.258,17357.72
91,2023-03-07,22219.769531249996,17446.27,17276.137
92,2023-03-08,21718.080078124996,17301.893,17205.309
93,2023-03-09,20363.021484375,17366.186,17055.145
94,2023-03-10,20187.244140625,17215.617,17126.553
95,2023-03-11,20632.41015625,17342.545,16971.639
96,2023-03-12,,,17106.787
