,Date,Y_test,Furture - 1,Furture - 2
0,2022-12-06,17089.503906249993,15190.123632395404,
1,2022-12-07,16848.126953124996,16061.094985041635,14769.594303902486
2,2022-12-08,17233.474609375,12459.280029966512,16186.651615467797
3,2022-12-09,17133.15234375,12704.677601217702,12448.653179697969
4,2022-12-10,17128.724609374996,12722.067219488512,12600.501976919297
5,2022-12-11,17104.193359374996,13344.991803515764,13038.597806686048
6,2022-12-12,17206.437499999993,12686.021372726005,12989.630259314177
7,2022-12-13,17781.318359374996,14226.855932165043,12106.599619581282
8,2022-12-14,17815.650390625,12793.703941030206,14315.204982460791
9,2022-12-15,17364.865234374996,14371.86789940746,12605.198608189601
10,2022-12-16,16647.484375,15534.544225114008,13937.14151435521
11,2022-12-17,16795.091796875,16444.78380579451,15331.537670992784
12,2022-12-18,16757.976562499996,16334.332370158549,16373.889199293377
13,2022-12-19,16439.679687499996,14986.31284952745,15871.663598704317
14,2022-12-20,16906.304687499996,15632.788495922276,15177.45797639229
15,2022-12-21,16817.53515625,15910.800788146598,15358.487750282036
16,2022-12-22,16830.341796874996,15633.947431605613,15454.948436475606
17,2022-12-23,16796.953124999993,16211.838860028403,15132.742405701843
18,2022-12-24,16847.755859374996,16874.84921097924,16058.514461861474
19,2022-12-25,16841.986328125,20884.303717388633,16626.63179857557
20,2022-12-26,16919.804687499996,17529.628507842506,20491.09130202385
21,2022-12-27,16717.173828124996,17898.59213758474,17330.900497569855
22,2022-12-28,16552.572265624993,19092.142253276976,18040.633050374694
23,2022-12-29,16642.341796874996,14598.537086959526,18584.390744757166
24,2022-12-30,16602.585937499996,15649.206730283988,14230.524314698861
25,2022-12-31,16547.496093749996,14763.18340149557,15263.810379603141
26,2023-01-01,16625.080078125,13613.159058400137,14649.194033920947
27,2023-01-02,16688.470703124996,13500.905953821153,13370.66521947774
28,2023-01-03,16679.857421875,13645.513586043324,13070.143659997717
29,2023-01-04,16863.238281249993,13135.141570763964,13877.886219617796
30,2023-01-05,16836.736328125,13974.274942192606,12798.960897335168
31,2023-01-06,16951.968749999996,13262.16837287367,14192.366449756173
32,2023-01-07,16955.078125,10780.618157894916,12982.892557821662
33,2023-01-08,17091.144531249996,12431.920676662432,10958.396652249668
34,2023-01-09,17196.5546875,12340.295460857356,12065.72704340837
35,2023-01-10,17446.292968749996,13416.140773554323,11933.370310853572
36,2023-01-11,17934.896484375,12647.642638447654,13213.155418603392
37,2023-01-12,18869.587890624996,13769.05962451218,12410.131634901782
38,2023-01-13,19909.574218749996,14595.11275565106,13898.344488836352
39,2023-01-14,20976.298828125,15080.820222948987,14051.320120300412
40,2023-01-15,20880.798828125,15014.804258280883,14807.82434837431
41,2023-01-16,21169.632812499996,15347.388887140793,14677.422570130595
42,2023-01-17,21161.51953125,15917.623637190281,15263.43671330604
43,2023-01-18,20688.781249999996,17339.457705532957,15297.766724252673
44,2023-01-19,21086.79296875,18324.19572626196,16471.43330056606
45,2023-01-20,22676.552734374996,19237.22602931129,18477.542502100994
46,2023-01-21,22777.625,20248.840354353906,18557.461315998735
47,2023-01-22,22720.416015624996,21321.31547077835,20220.02976833865
48,2023-01-23,22934.431640625,19530.186105893335,21198.488142754013
49,2023-01-24,22636.46875,18733.402289390822,19267.224184734507
50,2023-01-25,23117.859375,20965.77495730548,18220.40667787484
51,2023-01-26,23032.77734375,18305.67271753603,20791.142312743952
52,2023-01-27,23078.728515625,19167.342150550892,17702.995694425324
53,2023-01-28,23031.089843749996,18940.73024069266,19062.67443822731
54,2023-01-29,23774.56640625,17876.56900612727,18681.508494714115
55,2023-01-30,22840.138671875,17647.79655198783,17587.49026516416
56,2023-01-31,23139.283203124996,20071.583901588634,17167.462634861193
57,2023-02-01,23723.769531249996,22009.7521167871,19953.419414686425
58,2023-02-02,23471.87109375,21499.961724344517,21595.374794180094
59,2023-02-03,23449.322265625,20807.641028350357,20939.384129643124
60,2023-02-04,23331.84765625,21656.764035178145,20770.703424171905
61,2023-02-05,22955.666015624996,21443.24456349726,21410.81063276993
62,2023-02-06,22760.109375,20252.140934453248,21133.29220911775
63,2023-02-07,23264.291015624996,20274.586063393974,19667.423120946434
64,2023-02-08,22939.3984375,20721.205208126903,20384.53291445867
65,2023-02-09,21819.0390625,21130.407998987568,20531.452271506343
66,2023-02-10,21651.18359375,18589.515439928695,20622.531768008772
67,2023-02-11,21870.874999999996,18873.583360402205,18241.991906529285
68,2023-02-12,21788.203124999996,18423.36400223355,18800.932351120206
69,2023-02-13,21808.101562499996,17541.389161268038,17909.834783810416
70,2023-02-14,22220.8046875,17536.156319605983,17118.448039214865
71,2023-02-15,24307.841796875,17755.758552414536,17247.73958004597
72,2023-02-16,23623.474609375,17212.572968751905,17694.26359954051
73,2023-02-17,24565.6015625,17082.235266681477,16739.994932234604
74,2023-02-18,24641.277343749996,17642.926650794278,16915.497438946113
75,2023-02-19,24327.642578125,17611.47854396593,17543.50854050071
76,2023-02-20,24829.148437499996,18326.28258579935,17395.18716305084
77,2023-02-21,24436.353515624996,20082.573019190066,18186.044892424554
78,2023-02-22,24188.84375,18587.69193223722,19938.387534533773
79,2023-02-23,23947.4921875,19753.076363034666,18370.94665356602
80,2023-02-24,23198.126953125,18310.978423005694,19666.461602308747
81,2023-02-25,23175.375,20285.56850322833,17867.152367919844
82,2023-02-26,23561.212890625,22458.573675956195,20165.383377315942
83,2023-02-27,23522.87109375,19305.18253136482,21825.947193950367
84,2023-02-28,23147.353515625,19605.62910774864,18252.936807252743
85,2023-03-01,23646.550781249996,21727.363014768904,19761.83796790054
86,2023-03-02,23475.466796875,18041.079097110898,20757.626935342367
87,2023-03-03,22362.6796875,20529.420509563788,17600.73758233764
88,2023-03-04,22353.349609374996,16936.812947906838,20452.501098180644
89,2023-03-05,22435.513671875,16808.067035653832,17003.22561458115
90,2023-03-06,22429.757812499996,17023.41791474547,16121.217333119059
91,2023-03-07,22219.769531249996,19472.046981755862,16457.210260800544
92,2023-03-08,21718.080078124996,16165.819768830615,19436.07072605453
93,2023-03-09,20363.021484375,18804.039830517235,15316.044703566708
94,2023-03-10,20187.244140625,18841.720911414945,19080.68243875682
95,2023-03-11,20632.41015625,18618.10018404736,18066.917847448483
96,2023-03-12,,,18465.299319952606
