,Date,Y_test,Furture - 1,Furture - 2,Furture - 3,Furture - 4,Furture - 5,Furture - 6,Furture - 7
0,2022-12-01,16967.132812499996,28733.459,,,,,,
1,2022-12-02,17088.660156249993,28656.896,29169.4,,,,,
2,2022-12-03,16908.236328124996,28549.988,29089.52,28922.568,,,,
3,2022-12-04,17130.486328124996,28411.441,28980.918,28849.164,29601.24,,,
4,2022-12-05,16974.826171874996,28252.424,28841.287,28750.172,29519.53,29462.072,,
5,2022-12-06,17089.503906249993,28169.246,28683.232,28624.455,29408.166,29380.652,28769.92,
6,2022-12-07,16848.126953124996,28144.307,28613.69,28481.29,29264.55,29270.139,28698.844,28597.662
7,2022-12-08,17233.474609375,28040.18,28601.766,28405.57,29102.238,29128.01,28602.688,28527.383
8,2022-12-09,17133.15234375,28018.475,28504.936,28382.53,29032.363,28967.648,28480.889,28430.842
9,2022-12-10,17128.724609374996,28064.51,28492.377,28292.62,29021.852,28900.324,28341.932,28308.398
10,2022-12-11,17104.193359374996,28179.428,28544.85,28273.924,28921.98,28891.451,28266.748,28169.008
11,2022-12-12,17206.437499999993,28243.332,28669.533,28311.3,28910.27,28793.896,28242.443,28102.303
12,2022-12-13,17781.318359374996,28285.463,28728.244,28406.797,28967.096,28783.39,28154.537,28085.13
13,2022-12-14,17815.650390625,28371.736,28766.26,28458.957,29099.982,28839.86,28135.084,27997.99
14,2022-12-15,17364.865234374996,28354.455,28847.852,28495.396,29164.01,28971.525,28169.969,27982.42
15,2022-12-16,16647.484375,28145.68,28833.238,28567.66,29206.07,29032.842,28260.24,28023.36
16,2022-12-17,16795.091796875,28112.822,28639.81,28555.305,29293.656,29072.475,28309.994,28123.854
17,2022-12-18,16757.976562499996,28029.963,28623.02,28377.172,29279.664,29156.855,28343.916,28170.182
18,2022-12-19,16439.679687499996,27887.72,28558.166,28347.936,29078.06,29142.506,28412.393,28195.611
19,2022-12-20,16906.304687499996,27705.186,28436.404,28278.557,29061.525,28946.402,28398.47,28258.438
20,2022-12-21,16817.53515625,27838.418,28276.299,28159.988,28993.59,28932.465,28225.139,28236.52
21,2022-12-22,16830.341796874996,27851.871,28408.754,28012.459,28866.232,28868.68,28195.064,28066.793
22,2022-12-23,16796.953124999993,27890.586,28406.453,28135.309,28698.848,28746.953,28126.76,28047.246
23,2022-12-24,16847.755859374996,27943.598,28425.256,28152.645,28835.852,28585.914,28011.252,27989.166
24,2022-12-25,16841.986328125,27943.473,28461.873,28187.922,28832.275,28720.754,27867.37,27883.883
25,2022-12-26,16919.804687499996,28044.736,28448.14,28231.049,28851.52,28714.969,27985.91,27743.586
26,2022-12-27,16717.173828124996,28145.625,28526.086,28228.486,28890.309,28730.77,28004.703,27856.787
27,2022-12-28,16552.572265624993,27972.455,28607.326,28309.988,28876.766,28766.174,28040.887,27860.617
28,2022-12-29,16642.341796874996,27818.498,28432.365,28392.889,28959.143,28750.287,28083.965,27882.154
29,2022-12-30,16602.585937499996,27770.049,28285.42,28240.889,29045.21,28827.232,28082.283,27916.844
30,2022-12-31,16547.496093749996,27815.428,28241.014,28107.271,28862.771,28908.016,28162.5,27905.625
31,2023-01-01,16625.080078125,27833.518,28284.207,28068.23,28709.021,28728.15,28242.951,27974.902
32,2023-01-02,16688.470703124996,27925.56,28298.254,28105.848,28662.422,28578.145,28096.67,28042.352
33,2023-01-03,16679.857421875,27994.055,28369.818,28118.648,28708.203,28532.77,27967.486,27893.531
34,2023-01-04,16863.238281249993,27899.838,28427.752,28192.393,28724.71,28577.28,27929.105,27767.814
35,2023-01-05,16836.736328125,27780.97,28332.887,28244.65,28801.45,28592.244,27965.314,27727.02
36,2023-01-06,16951.968749999996,27745.496,28219.895,28154.453,28864.469,28663.668,27977.22,27763.229
37,2023-01-07,16955.078125,27719.605,28190.787,28044.65,28767.725,28723.043,28049.084,27772.174
38,2023-01-08,17091.144531249996,27918.014,28175.69,28011.92,28652.094,28627.27,28099.04,27832.33
39,2023-01-09,17196.5546875,27920.713,28388.77,27987.479,28623.441,28513.994,28011.7,27877.52
40,2023-01-10,17446.292968749996,27967.674,28392.291,28153.076,28609.117,28486.229,27904.975,27794.777
41,2023-01-11,17934.896484375,28085.578,28442.705,28152.707,28834.248,28473.469,27871.992,27695.656
42,2023-01-12,18869.587890624996,27994.846,28560.594,28188.963,28839.791,28696.646,27846.871,27665.393
43,2023-01-13,19909.574218749996,28007.76,28460.264,28281.389,28894.98,28701.521,28003.863,27647.621
44,2023-01-14,20976.298828125,27924.582,28469.266,28200.81,29021.041,28755.398,28002.39,27821.031
45,2023-01-15,20880.798828125,27838.19,28382.979,28204.656,28918.352,28878.557,28035.451,27818.848
46,2023-01-16,21169.632812499996,27743.455,28297.947,28129.21,28931.012,28774.979,28123.127,27853.777
47,2023-01-17,21161.51953125,27625.299,28211.076,28052.605,28843.51,28785.701,28045.006,27948.264
48,2023-01-18,20688.781249999996,27606.459,28107.21,27971.18,28757.0,28698.04,28047.518,27857.814
49,2023-01-19,21086.79296875,27676.879,28098.469,27872.93,28668.186,28612.166,27973.621,27859.016
50,2023-01-20,22676.552734374996,27675.965,28173.943,27860.375,28561.203,28525.193,27898.303,27778.77
51,2023-01-21,22777.625,27569.164,28183.797,27923.805,28552.275,28421.455,27817.885,27699.13
52,2023-01-22,22720.416015624996,27636.486,28089.629,27933.514,28630.639,28414.041,27720.766,27617.22
53,2023-01-23,22934.431640625,27870.074,28171.076,27856.568,28639.793,28492.123,27707.26,27519.766
54,2023-01-24,22636.46875,28138.25,28393.191,27928.812,28538.363,28502.969,27768.102,27507.69
55,2023-01-25,23117.859375,28377.479,28644.645,28142.467,28620.69,28406.244,27776.57,27571.877
56,2023-01-26,23032.77734375,28765.758,28858.736,28382.56,28849.89,28490.691,27703.08,27577.938
57,2023-01-27,23078.728515625,29089.898,29213.26,28599.086,29110.48,28715.324,27773.422,27502.879
58,2023-01-28,23031.089843749996,29347.684,29503.95,28934.209,29331.389,28969.764,27982.0,27578.56
59,2023-01-29,23774.56640625,29433.754,29731.541,29211.91,29700.035,29183.771,28216.195,27777.725
60,2023-01-30,22840.138671875,29616.475,29802.91,29430.945,30001.082,29541.453,28428.305,28001.525
61,2023-01-31,23139.283203124996,29687.0,29964.355,29511.16,30236.61,29832.977,28754.727,28194.27
62,2023-02-01,23723.769531249996,29707.55,30029.148,29667.824,30307.9,30060.47,29026.1,28505.719
63,2023-02-02,23471.87109375,29812.998,30046.404,29729.604,30475.295,30128.86,29240.516,28764.348
64,2023-02-03,23449.322265625,29964.352,30146.867,29753.734,30542.902,30290.24,29319.67,28967.951
65,2023-02-04,23331.84765625,30131.787,30283.832,29844.734,30559.746,30355.969,29472.406,29034.072
66,2023-02-05,22955.666015624996,30211.344,30441.11,29971.234,30664.4,30372.293,29532.814,29175.441
67,2023-02-06,22760.109375,30259.701,30518.82,30108.168,30806.793,30474.588,29556.877,29233.53
68,2023-02-07,23264.291015624996,30292.451,30563.246,30176.088,30970.375,30612.816,29645.19,29250.951
69,2023-02-08,22939.3984375,30482.17,30590.596,30222.592,31049.879,30772.576,29769.059,29338.541
70,2023-02-09,21819.0390625,30428.838,30768.162,30258.916,31093.312,30850.969,29902.338,29461.89
71,2023-02-10,21651.18359375,30487.686,30709.467,30415.97,31117.9,30893.78,29968.273,29600.854
