,Date,Y_test,Furture - 1,Furture - 2,Furture - 3,Furture - 4,Furture - 5,Furture - 6,Furture - 7
0,2022-12-01,16967.132812499996,16714.98,,,,,,
1,2022-12-02,17088.660156249993,17160.506,18956.676,,,,,
2,2022-12-03,16908.236328124996,17525.594,16957.32,18402.63,,,,
3,2022-12-04,17130.486328124996,17943.174,17048.932,16838.443,17165.006,,,
4,2022-12-05,16974.826171874996,17580.611,18542.498,16298.686,19100.092,16589.018,,
5,2022-12-06,17089.503906249993,18146.734,17059.744,16003.734,17356.658,16947.102,18135.527,
6,2022-12-07,16848.126953124996,17198.809,17446.361,16354.254,17611.74,16594.006,18584.02,17375.145
7,2022-12-08,17233.474609375,17296.307,17115.22,16085.777,17761.672,18108.62,17481.793,16807.217
8,2022-12-09,17133.15234375,17163.37,17009.902,16860.56,16937.715,16979.133,19308.174,16548.846
9,2022-12-10,17128.724609374996,17911.826,17536.898,16491.264,17354.201,16625.447,17238.385,17448.848
10,2022-12-11,17104.193359374996,17260.78,18090.793,16617.84,17826.416,17375.682,17063.955,16226.981
11,2022-12-12,17206.437499999993,17449.33,18542.295,17065.598,17603.549,17693.025,17779.846,16726.84
12,2022-12-13,17781.318359374996,17892.959,17500.271,17088.855,16584.738,17820.805,18779.33,16861.908
13,2022-12-14,17815.650390625,17154.576,16984.09,17048.586,19037.705,17996.746,19832.207,21096.012
14,2022-12-15,17364.865234374996,16473.828,17255.26,17488.182,17666.584,17379.928,18666.004,19381.322
15,2022-12-16,16647.484375,16230.149,18048.18,17935.912,17547.004,16152.499,19119.64,17089.463
16,2022-12-17,16795.091796875,17429.916,18183.348,17602.03,18547.707,17238.111,19006.865,17432.863
17,2022-12-18,16757.976562499996,17779.904,17386.836,16475.496,17677.162,18365.242,19072.703,17407.852
18,2022-12-19,16439.679687499996,17350.941,17765.938,17414.02,17294.367,19204.035,19590.582,18800.926
19,2022-12-20,16906.304687499996,17873.252,17168.396,17094.012,18458.793,18200.172,19361.965,18184.287
20,2022-12-21,16817.53515625,16992.26,18860.846,18581.654,18728.326,18151.242,19257.85,20727.62
21,2022-12-22,16830.341796874996,17615.996,17226.596,19098.418,19815.432,18151.38,20638.113,18638.266
22,2022-12-23,16796.953124999993,17302.455,18429.285,17233.4,17837.523,18180.344,19582.354,18341.768
23,2022-12-24,16847.755859374996,18115.418,18139.111,17798.984,18188.33,17513.748,19405.088,18708.66
24,2022-12-25,16841.986328125,17693.113,16633.744,18171.248,20240.465,17387.268,19651.654,19411.783
25,2022-12-26,16919.804687499996,16620.875,17726.791,17761.111,18907.055,17909.068,20101.516,17928.33
26,2022-12-27,16717.173828124996,17785.127,18341.982,17262.121,17202.068,17022.414,18772.803,18535.791
27,2022-12-28,16552.572265624993,16788.004,18774.135,17276.984,17901.248,17855.76,18904.18,19261.238
28,2022-12-29,16642.341796874996,17835.504,17978.08,17158.61,17846.676,17102.168,19042.154,17514.256
29,2022-12-30,16602.585937499996,18040.719,18562.025,17701.217,17230.777,18539.648,18713.674,18339.924
30,2022-12-31,16547.496093749996,17647.018,18132.828,18186.057,17649.863,18779.797,19087.684,18545.695
31,2023-01-01,16625.080078125,17890.426,18810.773,17636.127,19555.527,18394.07,19396.912,19420.346
32,2023-01-02,16688.470703124996,17863.662,19076.701,17510.71,18321.863,18113.75,21578.586,20189.135
33,2023-01-03,16679.857421875,18114.758,19228.395,18208.69,19480.229,18797.754,19286.316,18601.31
34,2023-01-04,16863.238281249993,18028.402,18516.523,18854.037,20149.754,18090.908,19565.85,18225.9
35,2023-01-05,16836.736328125,17647.477,17446.926,17607.914,19029.516,18081.537,20536.434,18111.049
36,2023-01-06,16951.968749999996,17018.623,17932.871,17477.691,19139.68,19099.281,19202.434,20114.197
37,2023-01-07,16955.078125,17921.416,18445.623,18027.924,20477.658,18762.945,20283.594,18732.514
38,2023-01-08,17091.144531249996,17065.328,18043.33,17838.572,20732.791,19085.15,19881.717,20476.525
39,2023-01-09,17196.5546875,17124.33,18560.27,18651.164,21241.398,18362.486,18952.867,19462.828
40,2023-01-10,17446.292968749996,17830.36,17672.395,18031.309,20432.035,18545.88,19515.463,18439.395
41,2023-01-11,17934.896484375,16789.525,17196.738,19298.404,19368.83,19974.68,19387.39,18447.488
42,2023-01-12,18869.587890624996,18135.54,18141.686,18743.904,20232.89,19254.9,20109.996,18453.992
43,2023-01-13,19909.574218749996,17070.947,17301.242,18378.367,20820.62,18698.172,19947.688,18851.348
44,2023-01-14,20976.298828125,17212.605,17168.904,18456.473,20537.865,18765.213,19833.652,19976.596
45,2023-01-15,20880.798828125,18970.39,16876.059,18940.855,19325.713,19469.59,18621.86,19026.986
46,2023-01-16,21169.632812499996,18572.709,17999.129,17285.195,20204.002,19457.588,18967.064,18329.512
47,2023-01-17,21161.51953125,16928.002,19297.873,18876.25,20901.293,18685.252,20279.896,17781.074
48,2023-01-18,20688.781249999996,18259.855,17829.361,20088.367,20612.525,18114.717,18835.5,20454.396
49,2023-01-19,21086.79296875,17040.328,19308.414,19552.473,20037.514,19747.016,20607.16,18350.42
50,2023-01-20,22676.552734374996,17709.496,18093.287,19011.611,21361.3,18657.273,21419.676,18434.795
51,2023-01-21,22777.625,18628.123,18118.13,19597.498,21119.783,18307.045,21503.879,20674.082
52,2023-01-22,22720.416015624996,19956.943,18264.654,19480.182,20988.166,19198.398,21454.725,19682.17
53,2023-01-23,22934.431640625,18731.254,19121.498,17895.45,24173.254,18755.676,20219.625,19597.83
54,2023-01-24,22636.46875,17225.365,17787.35,20147.762,21481.545,18981.178,20244.39,20362.39
